criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, None, sqrt, 1, 10, 200, 0.631 ,  31.5s
gini, None, sqrt, 1, 20, 200, 0.620 ,  34.3s
gini, None, sqrt, 1, 20, 200, 0.569 ,  34.7s
gini, None, sqrt, 1, 20, 500, 0.571 , 1.3min
gini, None, sqrt, 5, 2, 500, 0.588 , 1.3min
gini, None, sqrt, 5, 5, 200, 0.548 ,  29.3s
gini, None, sqrt, 5, 5, 1000, 0.562 , 2.5min
gini, None, sqrt, 5, 20, 1000, 0.584 , 2.5min
gini, None, sqrt, 20, 5, 500, 0.516 , 1.2min
gini, None, sqrt, 20, 10, 500, 0.518 , 1.2min
gini, None, sqrt, 20, 20, 500, 0.540 , 1.2min
gini, None, sqrt, 50, 2, 200, 0.448 ,  24.3s
gini, None, sqrt, 50, 2, 1000, 0.453 , 2.1min
gini, None, sqrt, 50, 10, 1000, 0.468 , 2.2min
